stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
21Day,0.37,0.37,0,0.74,1.85,0.37,0,0.37,0,0.37,0,1.48,0,4.81,0,2.96,0.37,1.11,0.37,0,0.37,0,0.37
3Month,0,0,0.1,0.21,0,0,0.31,0.21,0.31,0,0.52,0.21,0.1,0.73,0.1,0,0,0,0,0.21,0,0.1,0.31
