stage,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,2,0,0,0,1,4,0,0,19,0,0,1
72hpf,0,0.28,0.28,0,0,0.85,0,2.54,1.13,0.56,0.28,0
21Day,0,0,0,0.37,0,1.48,0.37,0.74,0.37,1.48,0,0
