stage,Epithelial_cell,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0,0.37,0.37,0,0,0
3Month,0.42,0.52,0.21,0.1,0.31,0,0,0.1,0.42,0,0,0.52,0.1,0.73
22Month,0,0.41,0,0,0.14,0.14,0,0,0,0,0,0,0,0
