stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,13,50,0,0,0,3,0,0,0,0,0,0,0
72hpf,1.13,0.56,0,1.13,0.56,0,0,0.28,0,0,0,0,0,0,0,0.56,1.69,0.56,1.97,0,0,0,9.3,5.36,0,0,0,5.92,0,0,0.28,0,0,0,0
21Day,1.11,0,0,5.18,0.37,0.37,0,0,0,0.74,0,0.74,0,1.85,0.37,0,1.11,0.37,2.59,0,0,1.48,4.07,0.74,0,0,0,2.22,0.37,0,1.11,0,0,0,0
3Month,0,0.62,0.1,2.7,0,0,0,0,0.1,0.52,1.87,3.33,0.52,0.1,0.73,0,0.52,2.91,1.87,0.1,0,0.62,0.1,0.1,0.1,0.1,0,0.1,0.31,1.56,0,0,0.1,1.46,0.73
22Month,0,1.91,0.27,2.19,0,0,0.14,0,0.41,1.37,2.05,14.48,0.55,0.41,1.37,0.14,0.27,0.68,3.96,0,0.27,0.27,0.55,0,0.27,0.14,0.55,0.41,0.27,1.23,0.27,0.14,0,0,0.82
