stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0.28,0.28,0,0,0.28,0,0,0
21Day,0.37,0,0,0,0,0,0,1.48,0,0.37,0.37,0,0,0,0,0.74,0.37,0,1.85,0,0.37,0.37,0,0,0
3Month,5.41,0.1,0.1,0.31,0.1,0.62,0.21,0.1,0.1,0.1,0.62,0.42,0.1,0,0.1,0,0,0,0.52,0.21,0,0,1.35,0.1,0.42
22Month,0,0,0,0,0,0.14,0,0,0.14,0,1.09,0.14,0,0.14,0,0,0,0,0,0.27,0,0,0,0,0.41
