stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,1.41,0,2.54,0.28,0,0,0,0,0,0,0,0,0,0.85,4.23,1.13,14.37,0,0,0.28,0,1.13,3.38,0,5.36,0,0,0.56,0,1.13,0,0,0
21Day,1.85,0.74,0,7.77,1.11,0,0.37,0,1.11,0,0,0.74,2.59,0.74,0.37,2.22,9.25,21.46,0,0,1.48,0,2.59,0.74,0,8.14,1.48,0,0.74,0.74,0.37,0,0,2.22
3Month,0.1,0.42,0,4.47,0,0.1,0,0.1,6.76,0,1.35,5.2,0,0.94,0.1,3.02,5.41,2.91,0.52,0,0.21,0.21,0,0,0,0.21,0,0.73,0,0,0.1,0.94,0.21,3.33
22Month,0,0.68,0.55,2.46,0,0.14,0,0.14,3.55,0.82,12.16,2.73,0.27,1.64,0,0.68,4.65,2.46,0,0.41,0.14,0,0,0,0.14,0,0.27,0.27,0,0,0,0.14,0,0.68
