stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,1.48,0,0,1.11,0,0,0,0,0,0
3Month,0,0,0.31,0,0,0.31,0,0.73,0.1,0.21,0.1,0,0,3.85,1.14,0,0,0,0,0.1,0.21,0,0.1
22Month,0.41,0.55,1.78,1.5,0.14,0.96,0.14,134.05,0.96,0.41,0.55,0.14,0.41,20.63,0.14,3.14,0.96,0.14,0.14,0.14,0,0.14,0.14
