stage,Endothelial_cell,Erythrocyte,Ionocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Radial_glia,Retinal_cell
72hpf,0,0,0.28,0,9.02,0.56,0,0,0.56
21Day,0.37,0.37,0,0,4.07,0,0.37,0.37,0
22Month,0,0,0,0.14,0,0,0,0,0.68
