stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,1,0,4,0,0,0,1,1,15,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,1.97,0,0,1.41,0,0,0,0,0,0,0,0,0.56,0,1.69,0.56,0.28,0.28,0,0.28,0,0.56,4.23,5.92,0.28,0,0,1.69,0.28,0,0,0.28,0,0,0,0,0
21Day,1.48,0,0,2.96,0.37,0,1.48,0,0,0,0,0,1.48,0,2.22,0.37,0.74,4.44,0,0,0.37,0.74,3.33,3.33,0,0,0,0.74,0.37,0,0,0.37,0.37,0,0,0,1.11
3Month,0.1,0.52,0.1,58.25,0,0.31,0.21,0.83,1.46,0,7.28,2.5,0.42,3.85,102.56,3.22,2.18,2.81,0.83,0.1,0.83,4.37,0.62,0.1,0.31,0.31,0,0.1,0.73,0.1,3.64,0.52,0,0.1,0.83,0.73,2.39
22Month,0,0.14,0.14,46.46,0,0.55,0.27,0.27,1.09,0.82,17.22,0.55,0.55,1.23,13.53,0.14,1.37,1.64,0,0.27,0.14,0.96,0.27,0.14,0.27,0,0.14,0.14,0.27,0,1.23,0.14,0,0,0,0,0.27
