stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,1.41,0,1.97,0,0,0,0.85,0.28,0,0.28,17.47,0,0,0.28,0,0,0,0,0
21Day,0,0.37,0,1.11,0,0,0,0,0,1.11,0,0,0,0.37,0,0,0.37,0.37,1.48,0,0,0,0.37,0,0,0,7.4,0,0,0,0,0,0,0,0.37
3Month,0.21,1.14,0.1,11.96,0.21,0.21,0.31,0.21,1.14,20.6,0,3.02,0.94,0.1,1.14,0.83,0.83,1.25,4.89,1.35,0.94,0.1,0.21,0,0,0.31,1.87,0.31,0.42,0.1,0,0,7.91,0.42,2.18
22Month,0,1.91,0,1.37,0,0.27,0.14,0,0.55,18.04,1.09,4.78,0.96,2.19,0.55,0.14,0,1.23,2.05,0,0.27,0,0.14,0,0.14,0,1.37,0,0,0.14,0.14,0.14,1.09,0,1.37
