stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,7,1,0,2,0,6,0,1,0,0,0,0,0,0,2,0,6,12,0,0,0,3,26,0,0,0,2,0,0,0,0,0,1,0,0
72hpf,10.71,5.07,0,2.54,0.56,5.07,0,3.38,0,0,0.28,0,1.97,0,0.85,7.33,2.25,4.51,0,0.28,0.56,74.69,13.25,0.56,0,0,4.51,0,0,5.64,13.81,10.43,1.41,0,0
21Day,2.59,2.22,0.37,12.95,0.37,195.35,0,108.04,0.37,0,0.74,0.37,13.32,1.11,1.11,8.14,5.92,9.25,0,0,14.06,34.04,11.1,0.74,0.74,0,5.55,2.96,1.48,8.51,17.76,32.56,0.37,0,10.36
3Month,0.1,0.83,0.1,4.78,0,0,0.42,0.83,0.1,2.7,1.04,5.3,0.42,0.83,0.31,19.45,1.35,0.42,0.1,0.1,3.02,0.52,0.1,0.21,0,0,0,0.42,13.52,0,0.1,0,0,4.47,4.99
22Month,0,1.37,0,0.82,0,0,0.82,0.14,0.14,1.91,2.05,2.05,1.09,0.55,0,2.46,0.82,0.55,0,0.27,2.19,0,0,0.27,0.27,0.55,0,0,2.6,0,2.05,0,0,0,2.05
