stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,5,0,1,0,0,1,0,0,0,0,0,0,2,2,16,0,0,0,0,6,115,1,0,0,4,0,0,0,0,0,0,0
72hpf,0.85,0.85,0,0.56,0.85,0,0,0,0,0,0,0,0,0,0,2.54,0,4.23,0,0,0.56,0.28,9.58,31.85,0.28,0,0,1.69,0,0,2.25,0,0,0,0
21Day,1.48,0.37,0,6.29,0,2.59,2.22,0,0,0,0.74,0,2.96,0.37,0.37,0.37,1.11,5.18,0,0,1.48,0,3.33,12.58,0,0,0,1.11,1.48,0.74,1.85,0,0,0,0
3Month,0,0.31,0.62,4.26,0,0,0.21,0.52,0.73,0,3.43,0.73,0.1,4.58,0.31,1.04,1.66,2.39,0.31,0,0.21,0.42,0.52,0.42,0.1,0,0,0.1,0.73,9.36,0.1,0.1,0.52,54.19,1.77
22Month,0,0.27,0.14,1.64,0,0,0,0,0.27,0.41,1.91,0.14,0,4.65,0,0.41,0.27,0.68,0,0.14,0,0,0.27,0,0,0.14,0.14,0,0,2.19,0.27,0,0,0.14,0.14
