stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,8,0,0,0,0,10,23,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.56,0,0,0.85,0,1.13,0,0.56,0,0,1.13,3.95,0,0,0,0.85,0.56,0,0.28,0,0,0,0
21Day,1.11,0,0.37,5.55,0.74,3.7,0,2.22,0,0,0.37,0,0,0.74,0,5.18,0.74,0.74,2.59,0.74,8.14,0,0,0,0,2.59,4.07,0,0.37,0,5.18,1.11,0.74,1.48,0.37,0,0,1.48
3Month,0,0.73,0.42,12.07,0.31,0,0.1,0.21,0.1,1.46,1.04,0,0,24.96,3.33,0.83,7.39,0.52,2.6,2.5,9.88,2.7,0.1,0.94,5.51,1.04,0.21,1.46,1.87,0,0.1,1.25,6.45,0.52,0.31,2.5,3.74,6.03
22Month,0,0.96,0.41,6.29,0,0,0.27,0.14,0.14,2.87,1.91,1.23,0,16.26,1.37,2.46,4.65,0.14,0.55,2.73,5.74,0.14,0.14,0.68,0.14,0.68,0.41,0.68,0.68,0.27,0,0,1.91,0.96,0.14,0.14,0,1.5
