stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,1.13,0,0,0,0,10.43,5.36,0,1.69,0,0,0.85,0,0,0.28,0,0
21Day,0,0,0.74,0,1.48,0,0,0,0,0.37,0.37,0,0,0.37,0,1.48,0,0,0,0,14.8,2.59,0,0.37,0.37,0.37,0.37,0.37,0,0.74,0,0
3Month,0,0,1.46,0.1,0,0.1,0.52,0.1,1.98,0.31,0,0.62,0,0.83,0.21,3.22,0.62,0,0.31,0.21,0.62,0.42,0.31,0,0.1,21.43,0,0.1,0.1,0.62,1.87,0.21
22Month,0,0.27,0.68,0.14,0,0,0.68,6.56,3.83,0.14,0.27,0.68,0.14,0.41,0.68,9.84,0.68,0.14,0.27,0,0.55,0.82,0.82,0,0.14,5.74,1.37,0.14,0,0.41,0,0.41
