stage,Erythrocyte,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Osteoblast,Retinal_pigment_epithelial_cell
72hpf,0.28,0,0.28,0,0,0.28,0.56
21Day,0.74,0,0,0,0.37,0,0
3Month,0,0,0.31,0,0,0,0
22Month,0,1.37,0.27,0.14,0,0,0
