stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,5,0,0
72hpf,0.28,0,0,0,0.56,0.28,0,0,0.56,0.28,0
21Day,0.37,2.22,0.37,0,0.74,1.85,0.37,0.37,0.37,0.37,0
3Month,0,0,0,0.21,0,0,0,0,0,0,0.1
