stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,1.41,83.99,0,0.56,0,0,0,0,0,0,0,0.28,0,1.41,0,31.57,1.41,0,0.56,0,0.28,0.56,7.61,3.66,0,0
21Day,0.37,0.37,124.69,0,31.82,0,0,0,0,0.37,0.74,0,1.48,0.37,1.48,0,4.81,0.74,0,0.37,1.48,0,0,2.59,10.36,0,0.37
3Month,0,1.46,0,2.08,0.52,0.1,0,0.52,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0.83,0,0,0,0.1,0
22Month,0,0.41,0,0.82,0.41,0,0.27,0.96,0.27,0.14,0.14,0,0,0,0.14,0.14,0,0.14,0.14,0,0,0.68,0,2.05,0,0,0
