stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0.37,0,0.37,0.37,0,0,0,0,0,0.37,0,0,0,0,1.48,0,0,0,0,0.37,0,0,0,0
3Month,0,0.31,0.1,2.6,0,0.21,0.1,0.42,3.43,0,0.1,1.46,0,0.42,0.21,0.42,0,0.1,0.1,0.1,0.1,0.31,0.1,0.21,1.25
22Month,0,0,0,0.14,0,0,0.27,0.14,5.74,0.68,0.14,2.05,0.27,0,0.14,0.41,0.14,0.14,0.14,0,0,0,0.27,0.14,0.27
