stage,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast,Radial_glia,T_cell
21Day,0,0,0,0.37,0,0,0,0.37,0.37,0,1.48
3Month,0.1,0,0.21,0.1,0.21,0.21,0,0.1,0.1,0.1,1.56
22Month,0,0.14,1.5,0.14,0,0.27,0.41,0.14,0,0,2.87
