stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.56,0,0,0.28,0,0,0.28,0,0,0
21Day,7.4,0,1.48,0,0,0,0,0,0,0.37,0.37,0.74,0,0,0.74,0,0.37,0,0,0,0.37,0,0,0,0,0,0
3Month,5.72,0.1,1.66,0.52,0.52,1.77,0.62,1.04,0.21,0.21,0.42,2.08,0.31,0.1,0.42,37.24,0,0.1,0.52,0.31,0.1,0.42,0.83,0.31,0.42,0.21,0.31
22Month,0.55,0.14,0,0,0,0.96,0.27,0,0.14,0,0,0.14,0,0.14,0.14,1.23,0,0,1.5,0.14,0,0,0.27,0.14,0,0,0
