stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,14,32,0,39,2,4,0,1,0,0,0,6,0,0,0,0,10,8,15,94,0,0,0,36,1399,0,0,0,11,0,0,0,0,3,0,0,0
72hpf,2.82,3.1,0,2.82,0.85,1.41,0,0,0,0,0,0,0,0,0,0,1.13,3.95,0,6.76,0,0.28,0.28,5.36,16.63,0,0,0,2.25,0,0.28,1.41,0,0.28,0,0,0
21Day,0.74,0.37,0,3.7,0,0.37,0,0,0,0,0.37,0,0,0,0.37,0.37,0.74,1.85,0.74,4.07,0,0.37,0.37,1.11,2.96,0,0,0,0.74,0.74,15.54,0.74,0.37,0,0,0.37,1.11
3Month,0.52,2.91,0.94,9.47,0.1,0,0.21,0,3.22,2.81,0,0,17.27,5.51,0.52,5.82,1.87,3.22,3.95,6.76,1.77,1.04,0.83,0.83,0.31,1.04,0.31,0,0.21,4.58,423.14,0.52,0,0,2.39,48.89,3.74
22Month,0,13.39,0.14,3.42,0,0,0.41,0,0.82,2.05,0.96,0,7.79,0,0,0.82,0.14,0,0.41,3.14,0.41,0.14,0,0.41,0,0,0.14,27.06,0,0.55,43.59,0.68,0,0,0.14,0.14,0.27
