stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0.37,0,0,2.59,0,0.37,1.11,0,0,0,0,0,0.37,0,0,0.37,0.37,1.11,0,0,0,0.37,1.48,0.37,0,0,0,0.74,0.74,0,0.37,0,0,0,0.37
3Month,0,0.83,0.62,12.17,0.21,0,0.21,7.28,0.94,0,12.69,1.77,0.1,9.15,0.94,4.06,3.74,2.5,0.31,0,1.56,0.83,0.52,0.1,0.73,0.1,0,0.1,0.21,1.56,0.21,0,0.83,0.52,6.45
22Month,0.41,2.73,0.27,11.89,0.27,0,0.14,4.37,3.42,3.01,86.77,0.96,0.82,8.61,0.55,1.5,7.11,7.38,0.14,1.09,1.23,0,0,0,0.68,0.27,0.41,0,0.14,2.73,0.41,0.14,0.14,0,1.5
