stage,Endothelial_cell,Hepatocyte,Immune_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,1,2,0,0,0,0
72hpf,0.28,0,0,0.28,4.79,0.56,0.28,0,0
21Day,0.37,0,0,0,2.22,0.37,0,0,0.74
3Month,0,0.21,0.1,0,0,0,0,0.1,0.1
22Month,0,0.41,0,0,0,0,0,0,0
