stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Nephron_cell,Pancreatic_cell
21Day,0,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0.31,0.1,0.1,0.1,0.21,3.95,0.42,0,0.31,0.1,0,0.1,0.1
22Month,0.14,0,0,0,0.14,5.06,0.14,0.41,0.14,0.27,0.14,0,0
