stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,T_cell
21Day,0.37,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,1.48
3Month,0.21,0,0.31,0.1,0.1,0.73,0.1,0.1,0,0.42,0,0.21,0.1,0.1,0.1,0.1,0,14.67
22Month,0,0,0,0,0.27,0.14,0,0,0.14,0,0.27,0.14,0,0,0,0,0.14,2.46
