stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,0,0.28,0,0,0.28,0,0,0,0.28,0.85,0.85,1.13,0,0,0,0.56,1.69,0,0,0.28,0,0.28,0.28,0,0,0
21Day,0,0.37,6.29,0.37,1.48,0,0,0,0.37,0.37,0.37,0,3.7,2.22,1.48,0,0.37,0.37,0.37,0.37,0,0,0.37,0,0,0.37,0,0,0.74
3Month,0,0,1.14,0,0,0.21,0.73,1.14,0.31,0,0.21,0,0.1,0.73,0.21,0,0,0,0,0,0,0,0,0.21,0,0.1,0.1,0.1,0.42
22Month,0,0,0.82,0,0,0.14,0.68,2.6,0,0.14,1.37,0,0,0.82,0.27,0.14,0,0,0,0,0.14,0.14,0,0,0.14,0,0,0,0
