stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,1.97,0,0,0,0,0,0,0,0,0,0,0.28,12.12,0.28,0.56,0,0,0,0.85,1.13,0,0,0,0,0,0,0,0,0
21Day,0,0,6.29,0.74,0,0,0,0,0,0,0,0.37,0,0,3.33,4.81,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0.31,0.1,68.65,0,0.31,0.1,0.62,2.39,0,2.6,1.46,0.1,1.66,0.83,20.39,14.77,1.56,0.31,0.31,0.73,0.31,0,0.31,0.1,0.1,0.52,4.47,0.1,1.77,0.52,1.25
22Month,0.14,0,4.51,0,0,0,0.14,2.19,0.41,4.24,0.55,0.14,0.41,0,1.37,4.78,0.14,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0.14
