stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,2.82,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0.56,0.28,0.56,38.61,0,0,5.07,6.48,3.1,0,1.41,0,76.1,0,0,0,0.28,0,0,0,0
21Day,2.96,0,0.37,3.33,0,1.11,0,0.37,0,0,0,0,0,0,0.37,0,0.37,61.42,0,0,5.55,4.07,1.48,0,0.74,0,40.7,0.37,0.37,0.74,0.37,0.37,0.37,0,0.37
3Month,0.73,0.21,0.21,1.77,0.1,0,0.21,0,0.21,1.77,0.1,3.33,0.73,1.04,0.1,0.73,0.83,39.63,12.9,0,2.81,0.52,0,0.21,0,0,3.85,0.52,3.64,0,0,0,0.62,3.54,0.73
22Month,0.41,0.14,0.14,0.96,0,0,0.41,0,0.27,1.09,0.68,18.17,0.82,1.5,0.14,0.14,1.78,36.9,2.19,0.27,1.23,0.14,0,0.14,0.14,0.14,2.46,0.55,1.09,0.27,0.14,0,0.27,0,0.55
