stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0.28,0,0,0,0,0,1.69,0.28,0,0,0.28,0,0,0.28,0,0,0
21Day,0,0.37,0,0,0,0,0,0.74,0,0.37,0,0,0.37,0.37,0.37,0,1.11,0.37,0,0,0,0,0
3Month,0.62,0.1,0.1,0,0.31,0.21,0.62,0,0.1,0.21,0,0.1,0.21,0.1,0.1,0.1,0,0,3.54,0,0.21,2.39,0.1
22Month,0.27,0,0,0.14,0.68,0,0.14,0,0.14,0.27,0.14,0,0.41,0.27,0,0,0,0,0.27,0.27,0,0,0
