stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,0,0,0,0,0,1.13,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0.37
3Month,0,0,0,0,0.1,0.1,0.1,0,0,0,0
22Month,0,0.14,0.14,0.14,0.41,0.14,0.14,0.41,0.14,0,0
