stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Spermatocyte
21Day,0,0,0,0,0,0,0,0,0,0.37,0,0
3Month,0,0,0.52,0.1,0.1,0.1,0.1,0.1,0.21,0.1,0.1,0.21
22Month,0.14,0.14,1.23,0.14,0,0,0,0,0.14,0,0,0
