stage,Enterocyte,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Spermatocyte
24hpf,0,0,0,0,1,0,1,0
72hpf,0,0,0,0,0,0,1.97,0
21Day,0.37,0,0.37,0,0,0.37,0,0
3Month,0,0.1,0,0.1,0.1,0,0,0.21
