stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,7.05,0,0,0,0,0,0.56,0,0,0,2.54,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0.37,4.81,0,0,0,0,0,0.37,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0,0.1,0.52,1.35,0.42,0.83,0.21,0.21,0.1,0.31,0.21,1.14,0.21,0,0,0,0,0.1,0.83,0.1,0,0.21,0.21,0.31
22Month,0,0.14,0.41,0.55,0.27,4.78,0.14,0.27,0,0.27,0.96,0.41,0,0,0,0.14,0.14,0.14,0.14,0,0.14,0,0,0
