stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,1,3,0,1,3,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,9.86,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0.74,0,8.51,0.37,0.37,0,0,0,0
3Month,0.1,0.1,0,0.42,0.1,0.1,0,0,0.1,0,0,0,0.1,0.21,0.1
22Month,0,0,0,0.55,0,0,0.27,0.14,0,0,0,0.96,0.14,0,0
