stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.56,0,3.1,0.28,611.89,0,0.85,0,0,0,0,0,0,0,0.56,3.66,0.85,2.82,0,0,21.42,8.74,0.56,0.28,2.82,0.28,0,1.13,0,0.56,0,0,0
21Day,2.96,0,0.74,9.99,1.11,808.79,0,116.92,0,0.37,0.37,3.33,0.37,2.22,0.74,0.37,6.29,3.33,8.88,0,0.74,12.21,4.81,0,1.11,5.18,16.28,0.37,0.74,1.11,7.03,0,0,1.11
3Month,0,0,0,0.1,0,0,9.26,1.14,0.1,0.21,0,0.52,0.1,0,0.21,0.21,0.1,0.42,0.52,0,0,0,0,0,0,0,0,0.83,0,0,0,0.1,0.1,0
22Month,0,0.27,0.14,0.68,0.14,0,9.57,0.68,0.41,0.55,0,3.55,0.82,0.14,0.14,0.14,0.41,0.82,0.82,0.27,0.68,0.14,0,0.27,0.41,0,0,0,0,0,0,0,0,0.41
