stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,1.41,0,0,0,0,0,0,0,0,0,0
21Day,4.07,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0.74,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0
3Month,48.99,0.21,3.74,0,0.1,0.42,2.18,0.1,5.62,2.18,4.16,0.52,1.46,1.46,1.04,0.42,0,1.25,0.62,0.52,0,0.21,0.1,0,0.21,0.1,0.94,0.21,0.73,0.52,1.46
22Month,94.56,0.41,1.23,0,0,0.27,3.42,0.27,12.16,0.41,1.37,0,0,1.91,1.09,0.14,0.41,0.41,0,0.27,0,0,0,0.41,0.14,0,0.27,0.27,0,0,0.82
