stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,1,3,0,0,0,1,0,0,0,0,0,4,18,0,0,0,8,148,1,0,0,1,0
72hpf,0.28,0.28,0.56,0.56,0,0,0,0,0,0,0.28,0.56,0,2.54,0,0,0,17.47,46.79,0.56,0,1.69,0.28,0
21Day,0,0,1.85,4.07,1.85,0.37,0,0,0.74,0,0,0,0,0.74,0,0,0,1.48,4.07,0.74,0,0,0,0.37
3Month,0,0,0,0,0,0.1,0,1.04,0,0.21,0,0,0,0,0,0,0.1,0,0,0,0.42,0,0,0
22Month,0,0,0.27,0,0,0,0,6.83,0,0.27,0,0,0,0.27,0.14,0.14,0,0,0,0,0.41,0,0,0
