stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,1,0
72hpf,0.28,0,0,0,0,0,0.28,0,0.85,0,0,0.28,0,0.28
21Day,0,0,0,0,0,0,1.85,0,5.18,0,0,0,0,0
3Month,0.1,0.94,0.31,0.21,0.62,0.1,7.07,0.1,0.83,0.21,0.1,0,0,0
22Month,0,0,0,0,0.14,0,0.82,0,0,0,0,0,0,0
