stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0,0,0.28,0.28,0.56,0,0,0,0,0,0,0.28,1.13,0,0.28,0,0,64.26,3.1,0,0.28,0.85,0,0,1.13,0.56,2.54,0.28,0,0,0
21Day,0,0,0,0.37,0,1.11,0,0,0,0,0,0,0.74,0,0,0,0,0,23.31,2.96,0,0.37,0.37,1.11,0.37,0.74,0.37,5.55,0,0,0,0
3Month,0,0.1,0.1,0.52,0,0,0.1,0,0,1.46,0.42,0.52,0.52,0,0.31,0.62,0.1,0.1,0.52,0,0.21,0,0,0.31,5.72,0,0,0,0.21,0.1,11.44,0.21
22Month,0.14,0.14,0,0.27,0,0,0,0.55,0.55,3.55,0,0.27,0,0.14,0.14,0.27,0.14,0,0.55,0,0,0,0,0,1.5,0,0.27,0,0,0,0.14,0
