stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.28,0.28,0,0,0,2.54,0,0,0,0,0,0,0.56,0,0,0,0,9.02,1.69,0,11.56,0.56,0,0,1.41,0,0,0,0,0
21Day,0.37,0.37,0,1.11,0,0.74,0,0.37,0,0,0.74,0,0,0.37,1.11,0,2.22,0,0,0,0,4.07,0.74,0.37,50.32,1.48,0.37,0,1.48,0,0.37,0.37,0,0.37
3Month,0,0.21,0.1,1.77,0.1,0,0,0,0.1,0.31,2.5,0.83,0.42,0.31,1.46,0.52,0.94,0.21,0,0.31,0.83,0.1,0,0.1,58.67,0,0.1,1.04,0.21,0,0,0,0.52,0.21
22Month,0,0,0,0.27,0,0,0.27,0,0.27,0.55,6.97,0.55,0.14,0,0.14,0.55,1.23,0,0.27,0,0,0,0,0.14,71.33,0,0,1.09,2.46,0.14,0,0,0,0.14
