stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,1.69,0,3.38,0.85,2.54,0,0.56,0,0,0,0,0,0.28,1.13,4.79,0.56,26.78,0,0,0,35.51,18.32,0,6.2,0.28,0,2.25,0.56,0.28,0,0,0,0
21Day,4.07,1.85,0.37,21.46,0.74,10.73,0,1.48,0,0,3.7,0,2.96,0.37,1.11,8.51,2.96,37.37,0,1.11,1.11,25.9,9.25,0,7.03,5.18,0.37,3.33,0.74,4.07,0.37,0,0,2.96
3Month,0.21,0.21,0.1,0.83,0,0,0.1,0,0.21,0,1.25,0.31,0,0.52,0,0.21,0.31,1.87,0.1,0.21,0.31,0.1,0,0,0,0.42,23.3,0,0,0,0,0.21,1.35,0.62
22Month,0,0,0,0.14,0,0,0,0,0.14,0.14,0.41,0.14,0,0,0,0,0.14,1.5,0,0,0,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0
