stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0
3Month,0.1,0.62,0.1,0,0.73,0.21,0.83
