stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,2,0,0,23,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0.28,0,1.69,0.28,0.56,3.66,0,0.56,0,0.56,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,1.11,0.37,0.37,0.37,0,0,0.37,0.74,0,0,0.37
3Month,0,0.31,0.1,0.42,0.21,0.1,0.1,0.21,0,0,0.83,0,0,0,0.1,0,0,0,0.21,0.21,0
22Month,0,0.27,0,0,0.41,0,0,0,0,0.14,0.41,0,0,0,0,0,0,0,0,0,0
