stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,54,0,8,1,0,0,0,0,0,0,3,0,0,0,0,4,0,1,35,0,0,0,0,32,926,0,0,7,0,0,0,0,0,0,0,0
72hpf,0,9.3,0,1.13,0.28,0.28,0,0,0,0,0.28,0,0,0,0,0,0.85,1.69,0.28,3.66,0,0,0.28,1.13,8.74,23.68,0.28,0,4.23,0,0,21.7,0,0,0,0,0
21Day,0.74,3.33,0,1.85,0.74,0,0,0,0,0,0,0,0,0,0,0,1.48,0.74,0,0,0,0,0,1.48,1.11,5.18,0,0,0.37,0.37,0,1.85,0,0,0,0,0
3Month,0.21,12.79,0.73,38.38,0.52,0,0.21,0.1,80.61,1.35,0,0,3.95,2.18,0,3.43,31.62,2.18,3.33,2.18,0.42,0.1,31.31,4.99,0.83,0.52,0.94,0.1,0.1,1.04,4.06,0.42,0.1,0.42,0.31,70.42,1.14
22Month,0,49.47,0.68,11.34,0.41,0,0.27,0,19.27,1.09,14.48,0,10.66,0.27,0.27,1.09,13.66,1.37,3.96,2.6,0,0.27,10.66,0.14,0.41,0,0.41,0.55,0,0.14,0.55,0.68,0,0.27,0.14,0,0.27
