stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0,0.31,0.21,3.64,0,0,0.62,0,0,0,0,0.1,0,0,0.21,0,0.1,0
22Month,0.41,0.14,0.27,0,6.97,0.14,0.14,0.41,0,0.27,0.27,0.14,0,0,0,0,0.27,0,0.27
