stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,1.41,0,2.54,0,1.41,0,0,0,0,0,0,0,0,0.28,0,3.1,28.18,1.13,7.05,0,0,0.28,0.28,10.71,2.25,0,0,8.46,0,0,0,0,0,0,0,0,0
21Day,1.48,1.48,0.37,30.34,1.11,2.22,0,0.74,0,0,0,0,0.37,0.74,3.7,1.48,11.47,43.29,3.7,14.8,0,0,3.7,0,5.55,0.37,0,0,2.22,1.85,0.37,0.37,0,1.11,1.11,0,0,2.22
3Month,0.31,3.95,0.1,40.67,0.1,0,0.1,0,0.42,1.77,0,0,3.33,5.51,0.42,4.26,10.92,5.62,1.35,4.89,0.21,0,1.25,1.87,0.83,0,0.31,0,0.21,0.42,8.53,0.42,0,0,0.21,3.64,2.6,1.35
22Month,0,1.09,0.96,6.29,0,0,0.14,0,0.82,1.37,0.14,0,6.15,0.68,0,9.16,0.68,0.82,2.19,1.64,0,0.27,0,0,0.14,0,1.09,0.82,0,0.14,2.87,0.14,0.14,0,0,0,0,0.41
