stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,14,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,8.74,0,5.36,0,0,0,0,0,0,0,0,0,9.58,0,3.1,0,0,0.28,2.82,2.82,0,0,3.38,0,0,1.69,0,0.28,1.97,0,0,0
21Day,1.85,5.18,0,30.34,1.11,0,0,0,0,0.37,0,0.37,0.37,13.69,0,6.66,0,0,7.77,2.96,0.37,0,0,2.96,1.48,0,1.48,0.37,0,2.22,0,0,0.37
3Month,0,10.92,0.31,33.29,0,0,0.1,0.73,0,4.16,0.52,1.66,0.52,9.99,0.83,2.91,0.21,0,0.73,0.1,0.1,0.1,0,0,0.52,1.77,0,0,0,0.1,8.63,0.21,0.73
22Month,0,15.71,0,12.57,0,0.14,0,0.27,7.79,6.15,0.55,0.55,0.14,1.23,0.82,1.91,0,0.41,0.55,0,0,0,0.14,0.14,0,0,0.14,0,0,0,0.55,0,0
