stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0.28,0,0,0,0,0,0,0.85,0,0,1.41,0.28,0.28,0,1.13,0,3.38,0,10.71,2.54,2.25,0,0,0,1.41,1.69,0,0,0,0,0,0
21Day,1.48,0.74,0.74,2.22,1.85,0,0.37,0,0,0,0,15.54,0,1.85,0.37,0.37,1.11,0,1.48,0,0,0,2.22,4.44,1.85,0,0,0,0.74,39.59,0.37,0.74,0.37,0,0,0.74
3Month,0.21,0.31,0.42,2.6,0,0.42,0,0.1,0.21,1.04,0,214.17,1.98,0.31,4.16,1.25,0.62,1.77,1.04,0.1,0.21,0.83,22.47,0.1,0,0.31,0.21,0,0.21,18.62,15.6,0.21,0,0.1,1.87,1.04
22Month,0,0.41,0.14,1.09,0,0.14,0.14,0,0.41,0.14,3.69,203.61,0.55,0.55,1.64,0,0.27,1.37,1.37,0,4.92,0.14,1.64,0,0,0.14,0,0.14,0,2.73,0.96,0,0,0,0,0.41
