stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Osteoblast,T_cell
21Day,1.11,0,0,0,0.37,0,0,0,0,0.37,0,0.74,0
3Month,0.31,0,0,0.1,0,0.21,0,0.52,0.21,0,0,0,0.1
22Month,0,0.14,0.14,0.14,0,0,0.14,0.68,0.14,0,0.14,0,0
