stage,Cardiomyocyte,Epithelial_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
72hpf,0.28,0,0.28,0,4.23,1.41,0.85,0
21Day,0,0.37,0,0.74,2.22,0.74,0,0.37
