stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Osteoblast
72hpf,0.56,0,0,0,0,0,0.28,0,0,0.56,0,0
3Month,0,0.1,0.1,0,0.21,0,0,0.1,0.1,0,0,0
22Month,0,0.14,0,0.27,0.68,0.14,0,0,0,0,0.14,0.14
