stage,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Neural_cell,Oligodendrocyte
72hpf,0,0,0.56,0,0.28,0
21Day,0,0,4.44,0,0,0
3Month,0.83,0,0.1,0,0,0.1
22Month,0.14,0.14,0,0.14,0,0
