stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.85,0,3.66,0.85,0.28,0.56,0.56,0,0.28,0,0
21Day,0.74,0,0,0,0,0.37,0,0.74,0,1.11,0,2.59,0.37,0,0,0.74,0.37,0.37,1.48,0
3Month,0.21,0.21,0.42,0.1,0,0.94,0.21,0,0.21,0,0.1,0,0,0,0,0,0,0,0,0
22Month,0.27,0.27,1.09,0,0.14,0.96,0,0,0,0.14,0,0,0,0.27,0,0,0,0,0,0.14
