stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,1.13,0.85,0.85,0,0.28,0,0,0,0
21Day,0.74,1.11,0,0,0,0,0,0,0,0,0,0,1.11,0.37,0,0,0.37,0,0,0.37,0,0,0,0
3Month,0,0.83,0.1,0.1,0.1,1.66,0.1,0.21,0.1,0.52,0.62,0.42,0.31,0,0.1,0.31,0,0,0.42,0,0.1,0.21,5.72,0.1
22Month,0,0.27,0,0,0,0.68,0,0,0.14,0,0,0,0.14,0,0,0.14,0,0,0.27,0.14,0,0,0,0
