stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,3.66,1.97,0,0,0,0,0.28,0.28,0,0,0
21Day,0,0,0.74,1.85,1.11,0,0,0.37,0,0,0,0,0,0.74,0.37,0.74,0,0,0.37,2.96,1.11,0.74,0.37,0,0,1.11,0.74,0,0.37,0.37
3Month,0,0.42,0.21,2.39,0,0,0.21,1.77,0,1.56,1.14,0.83,0.1,3.12,0.83,1.87,0.1,0,0,0.21,0,0.21,0,0.1,0.94,0.1,0,0.31,47.95,1.04
22Month,0,0.14,0,0.14,0,0.14,0,1.23,0.14,0.55,0.41,0.14,0.14,0,0.14,0.27,0,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0.14
