stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,4,2,19,0,0,0,0,12,145,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,3.66,1.69,0,5.92,0.85,0.28,0,0,0,0,0,0,0,0,0,4.23,18.88,0.56,18.6,0,0.85,0.56,0,118.94,60.03,0,0.28,11.27,0.28,0,0,6.48,2.54,1.41,1.69,0,0,0
21Day,4.81,1.11,0,18.13,0.74,0.74,0,0,0.37,0,0.37,0.74,0,0.74,0,2.22,9.99,0.74,15.54,0,0,1.85,0,25.53,8.51,0,0,3.7,0.37,0,0.37,0,1.48,3.33,0,0,0,0.37
3Month,0.21,0.83,0.42,11.55,0.31,0,0.31,0.1,0.42,0.52,0,5.62,1.14,0.1,5.93,0.73,2.81,2.18,4.47,1.04,0,0.42,0.31,0.62,0,0.42,0.83,0,0.42,0.1,1.25,0.1,0.1,0,0,0.31,0.31,1.25
22Month,0,2.46,0.68,3.83,0,0,0.14,0,1.09,1.09,1.37,14.35,1.37,0.41,7.79,0.68,0.82,2.32,3.42,0.27,0.68,0,0,0.14,0,0.14,1.23,0.27,0,0,0.27,0.14,0,0,0,0,0,0.68
