stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,1,1,0,1,1,2,0,1,6,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0.28,0,0.85,0.85,0,0
21Day,0,0.37,0,0,0,0,1.11,0,0.37,0,0.37,0,0.37
3Month,0,0,0,0.1,0,0,0,0,0,0,0,0.31,0
22Month,0,0,0.14,0.14,0,0.14,0,0,0,0,0,0,0
