stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0.56,0.56,0,0,0,0,0,0,0,0,0.56,1.41,0.28,2.25,0,1.13,0,43.12,7.05,0,0.28,1.69,0,0,0.85,0.56,0.28,0,0,0
21Day,1.11,0,0,1.85,0.74,0,0,0,0,0.74,0,0,0.74,0,2.22,0.74,3.33,0,0,0,24.42,1.11,0,0,0.74,0.74,0,0,1.48,5.18,0,0,0.74
3Month,0.1,0.1,0.21,2.18,0,0.1,0.52,0.62,0,28.6,0.52,0.1,1.77,0.21,1.04,0.83,1.56,0.42,0.21,0.31,0.94,0,0.31,0.1,0,0.52,3.22,0,0,0,0.31,1.35,0.52
22Month,0.14,1.09,0.41,1.37,0,0.14,0.55,1.09,0.96,82.95,0,0.27,3.14,0.14,0.41,1.37,4.37,0.27,1.78,0.55,7.24,0.14,0.14,0.14,0.27,0.27,7.38,0.27,0,0,0.27,0.27,0.82
