stage,Epithelial_cell,Erythrocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0
72hpf,0,0,0,0.28,0.28,0.28,0.28,0.28,0,0,0
21Day,0.74,0.37,0.37,0.37,0,1.48,0.74,0.37,0.37,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0.21
