stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,1.46,1.04,0.31,0.1,0.1,63.87,0.42,7.18,0.21,0.31,0.42,0.31,0.31,0,0.52,3.02,0.21,0.21,0,0.94,0.21,0.1,0.42,0.52,0.31
22Month,0,0,0,0,0,20.22,0,0.27,0,0,0.14,0,0,0.14,0,0.14,0,0,0.14,0.14,0,0,0,0,0
