stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,5,0,0,0,1,0,0,0,0,1,5,4,11,0,0,2,92,0,0,0,3,0,0,0
72hpf,0.56,0.56,0.85,0,0,0,0,0,0,0,0,0.28,1.41,0,2.54,0,0.85,5.07,7.61,0.28,0.28,0,2.25,0,0.85,0
21Day,0.37,0,1.48,0,0,0,0,0,0,0,0,0,0,0.37,2.96,0,0,0.37,1.11,0,0,0,1.11,0,0.37,0
3Month,0,0,0.1,0,0,0,0,0,0,0.1,0.21,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,1.09,0.27,0.27,0.14,0,5.19,0.14,0.14,3.01,0,0.14,0,1.37,0.27,0.14,0,0,0.14,0,0.14,0,0.96,0,0.14
