stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
72hpf,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,2.59,0,0.37,0.37,0,0,0,0,0,0,0,0.74,0.37,0,0,0.37,0,0,0,0,0,0.37,0,0
3Month,6.76,0,0.31,0,0.1,0.1,0,0.52,0.21,0.1,0.1,0.42,0.42,0.1,0,0,0,0.1,0.1,0.1,0,0,3.85,0.1
22Month,6.83,0.14,0.27,0,0,0.27,3.69,3.55,0.27,0.14,0.27,0.27,0,0,0.27,0,0.14,0,0,0.14,0.14,0,0.82,0.27
