stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0
3Month,0.21,0.21,4.06,0.21,0.1,0.1,0.31,0.73,0,13.94,0.94,0.1,2.81,0.42,1.46,1.14,3.33,0.52,0.21,0.1,0.62,0.1,0,0.42,0.1,0,0.1,0.31,10.61,0.21,2.91,0.31
22Month,0,0.27,1.09,0.27,0,0,0,0.41,0.82,11.34,0.82,0.96,1.78,0,0.41,1.09,1.37,0,0.41,0,0,0,0.14,0.14,0.14,0.14,0,0,1.64,0,0,0.41
