stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0,6.48,0.56,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,7.77,0.37,0,0.37,0.74,0,0,0.37,0.37,0,0,0
3Month,0,0.52,0,0.1,0,0,0.31,0.1,0.21,0.21,0.1,0.1,0.73,0,0.1,0.31,0,0.1,0.1,0,0.31,0.94,0,0,0.21,0.31,0.1
22Month,0,0.27,0.27,0.27,0.14,0,2.05,0,0,0.14,0,0.14,0.41,0.14,0,0.14,0,0.27,0,0,0.68,2.19,0,0,0,0,0
